empresa;estilo;base de roda;comprimento;tipo de motor;num-de-cilindros;potencia;consumo;preco
alfa-romero;conversivel;88.6;168.8;dohc;quatro;111;21;13495
alfa-romero;conversivel;88.6;168.8;dohc;quatro;111;21;16500
alfa-romero;hatchback;94.5;171.2;ohcv;seis;154;19;16500
audi;sedan;99.8;176.6;ohc;quatro;102;24;13950
audi;sedan;99.4;176.6;ohc;five;115;18;17450
audi;sedan;99.8;177.3;ohc;five;110;19;15250
audi;wagon;105.8;192.7;ohc;five;110;19;18920
bmw;sedan;101.2;176.8;ohc;quatro;101;23;16430
bmw;sedan;101.2;176.8;ohc;quatro;101;23;16925
bmw;sedan;101.2;176.8;ohc;seis;121;21;20970
bmw;sedan;103.5;189;ohc;seis;182;16;30760
bmw;sedan;103.5;193.8;ohc;seis;182;16;41315
bmw;sedan;110;197;ohc;seis;182;15;36880
chevrolet;hatchback;88.4;141.1;ohc;three;48;47;5151
chevrolet;hatchback;94.5;155.9;ohc;quatro;70;38;6295
chevrolet;sedan;94.5;158.8;ohc;quatro;70;38;6575
dodge;hatchback;93.7;157.3;ohc;quatro;68;31;6377
dodge;hatchback;93.7;157.3;ohc;quatro;68;31;6229
honda;wagon;96.5;157.1;ohc;quatro;76;30;7295
honda;sedan;96.5;175.4;ohc;quatro;101;24;12945
honda;sedan;96.5;169.1;ohc;quatro;100;25;10345
isuzu;sedan;94.3;170.7;ohc;quatro;78;24;6785
isuzu;sedan;94.5;155.9;ohc;quatro;70;38;
isuzu;sedan;94.5;155.9;ohc;quatro;70;38;
jaguar;sedan;113;199.6;dohc;seis;176;15;32250
jaguar;sedan;113;199.6;dohc;seis;176;15;35550
jaguar;sedan;102;191.7;ohcv;twelve;262;13;36000
mazda;hatchback;93.1;159.1;ohc;quatro;68;30;5195
mazda;hatchback;93.1;159.1;ohc;quatro;68;31;6095
mazda;hatchback;93.1;159.1;ohc;quatro;68;31;6795
mazda;hatchback;95.3;169;rotor;two;101;17;11845
mazda;sedan;104.9;175;ohc;quatro;72;31;18344
mercedes-benz;sedan;110;190.9;ohc;five;123;22;25552
mercedes-benz;wagon;110;190.9;ohc;five;123;22;28248
mercedes-benz;sedan;120.9;208.1;ohcv;eight;184;14;40960
mercedes-benz;hardtop;112;199.2;ohcv;eight;184;14;45400
mitsubishi;hatchback;93.7;157.3;ohc;quatro;68;37;5389
mitsubishi;hatchback;93.7;157.3;ohc;quatro;68;31;6189
mitsubishi;sedan;96.3;172.4;ohc;quatro;88;25;6989
mitsubishi;sedan;96.3;172.4;ohc;quatro;88;25;8189
nissan;sedan;94.5;165.3;ohc;quatro;55;45;7099
nissan;sedan;94.5;165.3;ohc;quatro;69;31;6649
nissan;sedan;94.5;165.3;ohc;quatro;69;31;6849
nissan;wagon;94.5;170.2;ohc;quatro;69;31;7349
nissan;sedan;100.4;184.6;ohcv;seis;152;19;13499
porsche;hardtop;89.5;168.9;ohcf;seis;207;17;34028
porsche;conversivel;89.5;168.9;ohcf;seis;207;17;37028
porsche;hatchback;98.4;175.7;dohcv;eight;288;17;
toyota;hatchback;95.7;158.7;ohc;quatro;62;35;5348
toyota;hatchback;95.7;158.7;ohc;quatro;62;31;6338
toyota;hatchback;95.7;158.7;ohc;quatro;62;31;6488
toyota;wagon;95.7;169.7;ohc;quatro;62;31;6918
toyota;wagon;95.7;169.7;ohc;quatro;62;27;7898
toyota;wagon;95.7;169.7;ohc;quatro;62;27;8778
toyota;wagon;104.5;187.8;dohc;seis;156;19;15750
volkswagen;sedan;97.3;171.7;ohc;quatro;52;37;7775
volkswagen;sedan;97.3;171.7;ohc;quatro;85;27;7975
volkswagen;sedan;97.3;171.7;ohc;quatro;52;37;7995
volkswagen;sedan;97.3;171.7;ohc;quatro;100;26;9995
volvo;sedan;104.3;188.8;ohc;quatro;114;23;12940
volvo;wagon;104.3;188.8;ohc;quatro;114;23;13415
